station_name,station_id,psa_name,psa_code,gaccid,RS
Metter Georgia,96301,GA  South,SA42,9,13
Camilla Georgia,98201,GA  South,SA42,9,13
Adel Georgia,98401,GA  South,SA42,9,13
Waycross Georgia,99701,GA  South,SA42,9,13
Midway Georgia,96801,GA  Coast,SA46,9,13
Sterling Georgia,98801,GA  Coast,SA46,9,13
Stafford-CUIS Georgia,99902,GA  Coast,SA46,9,13
Savannah NWR South Carolina,384201,GA  Coast,SA46,9,13
Open Pond - FTS Alabama,15902,FL Northwest,SA47,9,13
Bloxham Florida,80802,FL Northwest,SA47,9,13
Sanborn Florida,82001,FL Northwest,SA47,9,13
Sumatra Florida,82002,FL Northwest,SA47,9,13
Sanborn Florida,82201,FL Northwest,SA47,9,13
Olustee Florida,81301,FL Northeast,SA48,9,13
Eddy Tower Florida,81302,FL Northeast,SA48,9,13
Lower Suwannee Florida,83001,FL Northeast,SA48,9,13
Lake George Florida,83502,FL Northeast,SA48,9,13
Lake Wales Florida,84802,FL Central,SA49,9,13
Central Florida,83501,FL Central,SA49,9,13
Lake George Florida,83502,FL Central,SA49,9,13
Merritt Island Florida,84402,FL Central,SA49,9,13
Lake Wales Florida,84802,FL South,SA50,9,13
Brighton Florida,85801,FL South,SA50,9,13
Loxahatchee Florida,86001,FL South,SA50,9,13
Panther East Florida,86405,FL South,SA50,9,13
Chekika Florida,86704,FL South,SA50,9,13
Guanica,512901,PR,SA52,9,13
Camp Santiago,516301,PR,SA52,9,13
